                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.3435,                0.31495,                0.49953,                0.76697,                   0.87,                0.80083,                0.92587,                0.84418,                   0.87,                0.80083,                0.92527,                  0.596,                 0.3166,                0.30488,                0.52834,                0.76747,              0.0002774,              0.0002774,              0.0002774
                     90,                0.34726,                0.31664,                0.50656,                0.76573,                0.89389,                0.78017,                0.92439,                0.84464,                0.89389,                0.78017,                0.92385,                0.58608,                0.32302,                0.30799,                0.53063,                0.76764,              0.0002576,              0.0002576,              0.0002576
                     91,                0.33451,                0.32934,                0.47689,                0.76632,                0.86633,                 0.7958,                0.92413,                0.84405,                0.86633,                 0.7958,                0.92381,                0.58036,                0.32425,                0.29534,                0.53466,                0.76769,              0.0002378,              0.0002378,              0.0002378
                     92,                0.32417,                0.30103,                 0.4679,                0.76618,                0.85869,                0.81165,                0.92447,                0.84165,                0.85869,                0.81165,                0.92422,                0.59033,                0.32776,                 0.3009,                0.53366,                0.76775,               0.000218,               0.000218,               0.000218
                     93,                0.32494,                0.31083,                0.46685,                0.76606,                0.85764,                0.81374,                0.92461,                0.84179,                0.85764,                0.81374,                0.92423,                0.58886,                0.32232,                0.29503,                0.53282,                 0.7679,              0.0001982,              0.0001982,              0.0001982
                     94,                0.32207,                0.30169,                0.46173,                0.76668,                0.85764,                0.82124,                0.92478,                0.84187,                0.85764,                0.82124,                0.92444,                0.58157,                0.32553,                0.29102,                0.53753,                0.76759,              0.0001784,              0.0001784,              0.0001784
                     95,                0.31797,                0.29508,                0.45697,                0.76774,                0.85073,                0.82518,                0.92701,                0.84578,                0.85073,                0.82518,                0.92681,                0.60111,                0.31954,                0.28448,                0.52983,                0.76879,              0.0001586,              0.0001586,              0.0001586
                     96,                0.31837,                0.30217,                0.46242,                0.76535,                0.88533,                0.79605,                0.92655,                0.84759,                0.88533,                0.79605,                0.92649,                0.59574,                0.31665,                0.29601,                0.51986,                0.76735,              0.0001388,              0.0001388,              0.0001388
                     97,                0.31409,                0.30016,                0.45584,                0.76673,                0.87738,                0.80415,                 0.9266,                0.84502,                0.87738,                0.80415,                0.92612,                0.59467,                0.31901,                0.29329,                0.52304,                0.76734,               0.000119,               0.000119,               0.000119
                     98,                0.31206,                0.29724,                0.45186,                0.76509,                0.86759,                0.81374,                0.92734,                0.84573,                0.86759,                0.81374,                0.92694,                0.59697,                 0.3183,                0.29559,                0.51807,                0.76753,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.31049,                0.28614,                0.45257,                0.76647,                0.86113,                0.81686,                0.92728,                0.84744,                0.86113,                0.81686,                0.92706,                0.60087,                0.31293,                0.29286,                0.51511,                0.76715,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.30818,                 0.2922,                0.44887,                0.76564,                0.86673,                0.81374,                0.92748,                0.84819,                0.86673,                0.81374,                0.92739,                0.59666,                0.31344,                0.28704,                0.51352,                0.76725,               5.96e-05,               5.96e-05,               5.96e-05
